"pre" "post" "clos" "Vpn" "Age" "G" "R" "P" "Cluster" "Place" "vint" "offset" "W"
"340" 25.0566893424036 29.501133786848 95.2154195011339 "ALR0012" "alt" "m" "Sevilla" "sp" "cluster" "bil" 149.773242630385 -2.22222222222217 "espuma"
"341" 0.589569160997712 9.20634920634927 90.204081632653 "ALR0012" "alt" "m" "Sevilla" "sp" "cluster" "bil" 100 -4.30839002267578 "espuma"
"342" 50.1133786848073 8.73015873015879 70.1587301587301 "ALR0012" "alt" "m" "Sevilla" "sp" "cluster" "bil" 129.002267573696 20.6916099773243 "esputo"
"343" 40.0907029478458 13.8095238095236 80.1814058956917 "ALR0012" "alt" "m" "Sevilla" "sp" "cluster" "bil" 134.081632653061 13.1405895691612 "esputo"
"344" 55.124716553288 23.5374149659863 75.1700680272111 "ALR0012" "alt" "m" "Sevilla" "sp" "cluster" "bil" 153.832199546485 15.7936507936508 "esputo"
"345" 60.1360544217687 13.3560090702947 65.1473922902494 "ALR0012" "alt" "m" "Sevilla" "sp" "cluster" "bil" 138.639455782313 23.3900226757369 "despues"
"346" 65.1473922902494 8.86621315192724 95.2154195011339 "ALR0012" "alt" "m" "Sevilla" "sp" "cluster" "bil" 169.22902494331 28.140589569161 "despues"
"347" 50.1133786848073 8.70748299319735 75.1700680272108 "ALR0012" "alt" "m" "Sevilla" "sp" "cluster" "bil" 133.990929705216 20.7029478458048 "despues"
"348" 70.1587301587301 18.3900226757369 60.1360544217689 "ALR0012" "alt" "m" "Sevilla" "sp" "cluster" "bil" 148.684807256236 25.8843537414969 "espuela"
"349" 60.1360544217688 13.6734693877552 85.1927437641723 "ALR0012" "alt" "m" "Sevilla" "sp" "cluster" "bil" 159.002267573696 23.2312925170068 "espuela"
"350" 20.0453514739228 19.2517006802721 95.2154195011339 "ALR0012" "alt" "m" "Sevilla" "sp" "cluster" "bil" 134.512471655329 0.39682539682542 "espuela"
