labels,dur_v,dur_c,dur_utterance,dur_v_norm,dur_c_norm,dur_v_norm_word,dur_c_norm_word,dur_following_sound,dur_word,vc_ratio,variety,speaker,target_word,rate,target_sound,preceding_vowel,following_sound,second_next_sound,bundle_name,target_sound_start,target_sound_end,manner_of_articulation,place_of_articulation,vowel_quality,word_group,vowel_height,dur_aspiration,dur_c_aspiration,category,non_word,age,F1,F2,release_type,legal,speaker_group,standard_dialect_continuum,consonant_strength,vowel_length
Rabbi,109.07029478458048,55.12471655328795,1068.2086167800453,0.10210579943958563,0.05160482296000677,0.37341821287167143,0.188727583262169,13.287981859410365,292.0861678004535,0.6642728904847398,SD,SD_0003,Rabbi,normal,b,a,_h,i,SD_0003_Rabbi_normal_05,1068.8321995464853,1123.9569160997733,stop,labial,a-like,rABe,low,13.287981859410365,68.41269841269832,VC,FALSE,Y,731,1457,oral,legal,Y_SD,3,Lenis,Short
Tigger,57.73242630385471,27.913832199546505,1177.0294784580499,0.04904926117864628,0.023715491166894656,0.17929577464788687,0.08669014084507051,107.55102040816325,321.9954648526076,0.6740799576383365,SD,SD_0003,Tigger,normal,g,I,6,g,SD_0003_Tigger_normal_01,989.9206349206348,1017.8344671201813,stop,velar,i-like,tIGer,high,0,27.913832199546505,VC,FALSE,Y,397,2337,oral,legal,Y_SD,3,Lenis,Short
Tigger,61.451247165533005,42.47165532879808,1212.6757369614513,0.050674096374277854,0.03502309317676088,0.1745234415249875,0.12062081401339486,111.56462585034024,352.10884353741494,0.5913157320532413,SD,SD_0003,Tigger,normal,g,I,6,g,SD_0003_Tigger_normal_02,1248.968253968254,1291.439909297052,stop,velar,i-like,tIGer,high,0,42.47165532879808,VC,FALSE,Y,415,2333,oral,legal,Y_SD,3,Lenis,Short
Tigger,60,45.918367346938794,1084.4217687074831,0.05532902578257323,0.04234364218054076,0.17974322396576323,0.13755858976971683,89.97732426303855,333.80952380952374,0.5664739884393063,SD,SD_0003,Tigger,normal,g,I,6,g,SD_0003_Tigger_normal_03,948.1292517006802,994.047619047619,stop,velar,i-like,tIGer,high,0,45.918367346938794,VC,FALSE,Y,392,2367,oral,legal,Y_SD,3,Lenis,Short
Tigger,53.514739229025054,29.841269841269877,1146.8707482993198,0.046661525990074636,0.02601973228938058,0.15831488562420373,0.0882806735090898,114.5578231292518,338.02721088435374,0.6420021762785638,SD,SD_0003,Tigger,normal,g,I,6,g,SD_0003_Tigger_normal_04,1235.1587301587301,1265,stop,velar,i-like,tIGer,high,0,29.841269841269877,VC,FALSE,Y,411,2401,oral,legal,Y_SD,3,Lenis,Short
Tigger,60.56689342403615,37.64172335600915,1134.6938775510203,0.053377298161470715,0.033173461231015264,0.18537025470192212,0.11520577416892251,98.8435374149658,326.73469387755085,0.6167166936042474,SD,SD_0003,Tigger,normal,g,I,6,g,SD_0003_Tigger_normal_05,1140.1020408163265,1177.7437641723357,stop,velar,i-like,tIGer,high,0,37.64172335600915,VC,FALSE,Y,394,2457,oral,legal,Y_SD,3,Lenis,Short
Widder,49.88662131519277,39.95464852607711,1247.4603174603174,0.039990547688728145,0.032028793194335894,0.1995102929173847,0.159789607327469,13.560090702947718,250.0453514739229,0.5552751135790006,SD,SD_0003,Widder,normal,d,I,_h,6,SD_0003_Widder_normal_01,1073.3219954648525,1113.2766439909296,stop,alveolar,i-like,BIDer,high,13.560090702947718,53.514739229024826,VC,FALSE,Y,435,1740,oral,legal,Y_SD,3,Lenis,Short
Widder,46.68934240362819,34.53514739229024,1280.3854875283446,0.03646506685557431,0.026972460816434955,0.1763144374036654,0.13041616715190962,24.988662131519163,264.8072562358275,0.5748185371300953,SD,SD_0003,Widder,normal,d,I,_h,6,SD_0003_Widder_normal_02,967.8344671201814,1002.3696145124717,stop,alveolar,i-like,BIDer,high,24.988662131519163,59.523809523809405,VC,FALSE,Y,451,1749,oral,legal,Y_SD,3,Lenis,Short
Widder,50.92970521541952,32.743764172335545,1252.471655328798,0.04066335952493031,0.026143317521816232,0.2053391844944231,0.13201682208813284,13.809523809523853,248.02721088435385,0.6086720867208677,SD,SD_0003,Widder,normal,d,I,_h,6,SD_0003_Widder_normal_03,955.4081632653061,988.1519274376417,stop,alveolar,i-like,BIDer,high,13.809523809523853,46.5532879818594,VC,FALSE,Y,437,1943,oral,legal,Y_SD,3,Lenis,Short
Widder,48.23129251700675,28.231292517006864,1251.111111111111,0.03855076666545833,0.022564976256932663,0.19940001874941393,0.11671510265304239,5.918367346938794,241.88208616780037,0.6307829181494654,SD,SD_0003,Widder,normal,d,I,_h,6,SD_0003_Widder_normal_04,797.2675736961451,825.4988662131519,stop,alveolar,i-like,BIDer,high,5.918367346938794,34.14965986394566,VC,FALSE,Y,463,1846,oral,legal,Y_SD,3,Lenis,Short
