"F1" "F2" "age" "spk" "gender" "word" "initial" "DCT0" "DCT1" "DCT2" "phoneme"
"34" 3.23280701754386 11.2664 "younger" "albr" "w" "who'd" "u:" 16.7714594778127 -0.16392812469203 0.681052858182803 "u:"
"35" 3.8620819112628 11.5442736960179 "younger" "albr" "w" "who'd" "u:" 16.9935311967342 0.208505449106319 0.491077726002723 "u:"
"36" 3.6301724137931 11.9891106880609 "younger" "albr" "w" "who'd" "u:" 17.842120288483 0.229690415190345 0.748647844808382 "u:"
"37" 3.50254009536194 11.8636488340192 "younger" "albr" "w" "who'd" "u:" 17.4596661015236 -0.249538376057238 0.514307350053077 "u:"
"38" 3.45306689834926 12.4516842105263 "younger" "albr" "w" "who'd" "u:" 17.5934991214741 0.0988971329454565 0.299573466340267 "u:"
"39" 3.41333333333333 12.1238577586207 "younger" "albr" "w" "who'd" "u:" 17.2828135494013 0.291651771004382 0.213323741806075 "u:"
"40" 3.42327968682036 11.1627387802071 "younger" "albr" "w" "who'd" "u:" 16.7373948921338 -0.0864638514251098 0.764356904235296 "u:"
"41" 3.54196451752488 13.5689211417513 "younger" "albr" "w" "hewed" "ju:" 18.4944161002887 1.11726236788135 -0.299437016714998 "ju:"
"42" 3.37346120313862 13.5226317067249 "younger" "albr" "w" "hewed" "ju:" 19.126978860771 0.593896107043055 0.243829125638288 "ju:"
"43" 3.51240901213172 13.7148158775705 "younger" "albr" "w" "hewed" "ju:" 18.641677424699 0.991599927812722 -0.199147413772155 "ju:"
"44" 3.64968130921619 13.4258904109589 "younger" "albr" "w" "hewed" "ju:" 18.8527931360253 0.78039442854489 0.0309876161655331 "ju:"
"45" 3.29329833770779 13.636207892204 "younger" "albr" "w" "hewed" "ju:" 19.309350462751 -0.220531499343608 -0.00207357001870978 "ju:"
"46" 3.33344978165939 13.3563403836695 "younger" "albr" "w" "hewed" "ju:" 18.8771664243698 1.0107368426212 0.121062185406633 "ju:"
"47" 3.59105354058722 13.1889187842551 "younger" "albr" "w" "hewed" "ju:" 18.7611545159117 0.877850647559801 -0.0654145737660793 "ju:"
"48" 3.45306689834926 13.1562237762238 "younger" "albr" "w" "hewed" "ju:" 18.7061877914294 1.03130209097465 0.172382918445279 "ju:"
"49" 3.52226938068428 12.4662250262881 "younger" "albr" "w" "hewed" "ju:" 18.4228182168171 0.948975177620709 0.549178932465458 "ju:"
"50" 3.28323851203501 13.7686666666667 "younger" "albr" "w" "hewed" "ju:" 19.1380456763521 0.662743515145231 0.183532661607189 "ju:"
"51" 3.37346120313862 14.674964664311 "younger" "albr" "w" "keyed" "i:" 20.455901121215 -0.039406899992199 -0.272771601791263 "i:"
"52" 3.43321739130435 15.1611680067711 "younger" "albr" "w" "keyed" "i:" 20.8292966319611 0.225581720206507 -0.399547650788522 "i:"
"53" 3.5714433880726 14.7030887860762 "younger" "albr" "w" "keyed" "i:" 20.6294781693822 0.0252824239259053 -0.20754151523941 "i:"
"54" 3.44314645806171 14.7564035087719 "younger" "albr" "w" "keyed" "i:" 20.5296023011403 0.010979841652494 -0.247391572469833 "i:"
"55" 3.34346573548669 14.8317211328976 "younger" "albr" "w" "keyed" "i:" 20.7803277901773 -0.125290823634135 -0.0971878983770378 "i:"
"56" 3.46297872340426 14.8317211328976 "younger" "albr" "w" "keyed" "i:" 20.8322835471192 -0.154590107345374 -0.122500032048734 "i:"
"57" 3.44314645806171 14.7740661265601 "younger" "albr" "w" "keyed" "i:" 20.7760649088013 -0.0272231346444522 -0.0997090475632634 "i:"
"58" 3.58125269978402 14.8615732290309 "younger" "albr" "w" "keyed" "i:" 20.850732956567 -0.149310531044131 -0.101905799680323 "i:"
"59" 3.37346120313862 14.7690251916758 "younger" "albr" "w" "keyed" "i:" 20.6575663725714 -0.0958577012275798 -0.159394914900704 "i:"
"60" 3.44314645806171 14.6389720868409 "younger" "albr" "w" "keyed" "i:" 20.5758938596085 0.00873666482402959 -0.137317780242622 "i:"
"61" 3.26309242225142 11.969651416122 "younger" "albr" "w" "cooed" "u:" 17.56368615209 0.533212781740804 0.459605174443309 "u:"
"62" 3.6301724137931 12.9835425101215 "younger" "albr" "w" "cooed" "u:" 18.5178026906948 0.18199493625262 0.162801792082796 "u:"
"63" 3.69830683283197 12.2785078603784 "younger" "albr" "w" "cooed" "u:" 17.686179121797 0.287419725712483 0.351018355231674 "u:"
