kF10,kF11,kF12,kF20,kF21,kF22,word,speaker,initial,session,label,group
-0.665980071958501,0.016712159417596,-0.113149252240062,1.45801667170799,0.0860176680388029,-0.0820662384867119,hid,1,I,1,I,dummy
-1.54879640983769,0.108089166687608,0.042844286970689,1.8428301599171,-0.0881980898958106,-0.308496591619724,feed,1,i:,1,i:,dummy
-1.49252759752058,0.0804535371127928,0.00284140197488061,2.05376570881997,-0.169885034574298,-0.202012994782387,seed,1,i:,1,i:,dummy
-1.67945449945539,0.0621841953442246,0.0138272687175044,2.22744169930007,-0.00341514889845009,-0.105823440796837,keyed,1,i:,1,i:,dummy
-1.64416727817178,0.0123189420898091,-0.0210608520888129,2.19960641943049,-0.0215031282287911,-0.0934309512259205,heed,1,i:,1,i:,dummy
-0.985790383772138,0.551011758084768,-0.327622283450348,1.2963566363832,-0.504858973295386,-0.0514730918636915,coffee,1,I:,1,I:,dummy
-0.864245510461918,0.0723462513794538,-0.142851466348933,1.32575701965537,-0.397568551727762,-0.0209131486634304,messy,1,I:,1,I:,dummy
-1.31174681821175,0.330570211735592,-0.219476217541195,1.9251579647067,-0.291720495547986,-0.0121123350071118,jockey,1,I:,1,I:,dummy
-1.55160455207198,0.00288530323449872,-0.0710508345687943,1.07274879864007,0.395603673180125,-0.0516158395898001,feud,1,ju,1,ju,dummy
-1.65020743316627,0.100130971872705,-0.0926549068193335,1.05287366833416,0.410096823542075,0.0973588805319296,queued,1,ju,1,ju,dummy
-1.58874620690653,0.0478054876808342,-0.12717305643904,1.06943347207761,0.396670612834414,0.10521678931971,hewed,1,ju,1,ju,dummy
-1.48468599279089,0.196150376944776,-0.275204227651924,1.00366547103146,0.42663263482631,-0.1973664920621,curfew,1,ju,1,ju,dummy
-1.34872952159908,0.00926417502753355,-0.203279590639832,1.25886147099661,0.472808110667357,-0.199709623624354,rescue,1,ju,1,ju,dummy
-1.36080983158806,0.143205559104135,0.0207455396058464,0.512660558410586,0.0117745070919289,-0.0322212445941132,food,1,u,1,u,dummy
-1.3687044201335,0.147258309327924,0.00581311141049347,0.905804435697957,0.0263579845815119,-0.0727885181402617,sued,1,u,1,u,dummy
-1.48569268528997,0.167347932873203,-0.102618246425954,0.695289613516213,0.191598321844145,-0.00499134210481615,cooed,1,u,1,u,dummy
-1.47292358569635,0.085643637665576,-0.0576481887119669,0.339556756271214,0.0870826048897267,0.066197740659134,whod,1,u,1,u,dummy
-0.667675554062217,0.555336805982729,-0.191761921800452,0.427505470055033,-0.112656568228917,-0.0788566330261522,tofu,1,ou,1,ou,dummy
0.058732559749075,0.60101138825184,-0.310249396617194,-0.178980512980037,-0.0806469860918238,-0.353976238961774,flow,1,ou,1,ou,dummy
0.386066573397956,-0.119978515567465,0.289942376001639,0.162952507812086,-0.054730418994222,0.0914991090277947,sew,1,ou,1,ou,dummy
-0.704128419292135,0.76440223635509,0.123960701584415,0.0570303485018382,0.0216268912658369,0.0406322341718062,code,1,ou,1,ou,dummy
-0.769192545022279,0.782469507165634,0.170507523393938,0.148479508605411,-0.0720930772486896,-0.00180104955529726,hoed,1,ou,1,ou,dummy
-0.15818318189523,0.792494371812653,-0.269068442450444,-0.0475791434385019,-0.0565769484366192,-0.280454709070038,airflow,1,ou,1,ou,dummy
-0.0799260860455387,0.318918813402416,-0.34928849755291,0.0975210881428388,-0.147286585779038,-0.0729981994188838,torso,1,ou,1,ou,dummy
-0.0487186185739959,0.0460497421896756,-0.340542895497457,0.464563079651659,0.0852657828595034,0.0620458883029183,disco,1,ou,1,ou,dummy
-0.100748725631814,0.881680283173403,-0.277044783566469,-0.071106181683772,0.152926856403965,-0.202435211453302,backhoe,1,ou,1,ou,dummy
-0.587034186504173,-0.00446093441223607,-0.189109266140149,0.990841720571596,-0.0954697445875573,-0.110007803008107,Sid,1,I,1,I,dummy
-0.654323632495445,-0.0924248180067047,-0.140452216041856,1.23553638157748,0.0914248735149128,-0.0704812968169764,kid,1,I,1,I,dummy
-0.654747503021375,-0.156919795718599,-0.220512797783434,1.33799175270566,0.107766225387123,-0.0766991498727389,hid,1,I,1,I,dummy
-1.58546121033058,0.139778481450236,0.0827803552329205,1.83613219051681,-0.135729153789925,-0.204386932432819,feed,1,i:,1,i:,dummy
