spk age word phoneme DCT0 DCT1 DCT2
albr younger who'd u: 17.842120288483 0.229690415190345 0.748647844808382
albr younger who'd u: 17.4596661015236 -0.249538376057238 0.514307350053077
albr younger who'd u: 17.5934991214741 0.0988971329454565 0.299573466340267
albr younger who'd u: 17.2828135494013 0.291651771004382 0.213323741806075
albr younger who'd u: 16.7373948921338 -0.0864638514251098 0.764356904235296
albr younger hewed ju: 18.4944161002887 1.11726236788135 -0.299437016714998
albr younger hewed ju: 19.126978860771 0.593896107043055 0.243829125638288
albr younger hewed ju: 18.641677424699 0.991599927812722 -0.199147413772155
albr younger hewed ju: 18.8527931360253 0.78039442854489 0.0309876161655331
albr younger hewed ju: 19.309350462751 -0.220531499343608 -0.00207357001870978
albr younger hewed ju: 18.8771664243698 1.0107368426212 0.121062185406633
albr younger hewed ju: 18.7611545159117 0.877850647559801 -0.0654145737660793
albr younger hewed ju: 18.7061877914294 1.03130209097465 0.172382918445279
albr younger hewed ju: 18.4228182168171 0.948975177620709 0.549178932465458
albr younger hewed ju: 19.1380456763521 0.662743515145231 0.183532661607189
albr younger keyed i: 20.455901121215 -0.039406899992199 -0.272771601791263
albr younger keyed i: 20.8292966319611 0.225581720206507 -0.399547650788522
albr younger keyed i: 20.6294781693822 0.0252824239259053 -0.20754151523941
albr younger keyed i: 20.5296023011403 0.010979841652494 -0.247391572469833
albr younger keyed i: 20.7803277901773 -0.125290823634135 -0.0971878983770378
albr younger keyed i: 20.8322835471192 -0.154590107345374 -0.122500032048734
albr younger keyed i: 20.7760649088013 -0.0272231346444522 -0.0997090475632634
albr younger keyed i: 20.850732956567 -0.149310531044131 -0.101905799680323
albr younger keyed i: 20.6575663725714 -0.0958577012275798 -0.159394914900704
albr younger keyed i: 20.5758938596085 0.00873666482402959 -0.137317780242622
albr younger cooed u: 17.56368615209 0.533212781740804 0.459605174443309
albr younger cooed u: 18.5178026906948 0.18199493625262 0.162801792082796
albr younger cooed u: 17.686179121797 0.287419725712483 0.351018355231674
albr younger cooed u: 18.221114349316 -0.20593325800642 0.202635176427051
albr younger cooed u: 18.1404898880796 0.105376098336295 0.225181823324758
albr younger cooed u: 18.1535665544539 -0.0893284047346719 -0.0248076662753617
albr younger cooed u: 17.054978838896 0.251032598145098 0.352202289075865
albr younger cooed u: 17.975295348362 0.211338540868499 0.0745004820805846
albr younger cooed u: 18.2948613028407 0.0427849076627896 0.167546187090597
albr younger cooed u: 16.8208822410945 0.10173634657088 0.649747529421801
albr younger queued ju: 19.2983552040978 0.580476322575039 0.323977348097963
albr younger queued ju: 18.9547625720227 0.747810406338237 0.258205518949943
albr younger queued ju: 19.0957086805991 0.615085504290941 0.274128923273269
albr younger queued ju: 19.521896778888 1.00093391979662 -0.209750213862998
albr younger queued ju: 19.4485186011281 0.358895014164114 -0.351280816892269
albr younger queued ju: 19.2796534119852 0.73424582721253 -0.0839216714362125
albr younger queued ju: 18.9486067923608 0.762894698174589 0.00468687503990947
albr younger queued ju: 19.431364688994 0.675122086251437 -0.257878382188989
albr younger queued ju: 19.4369359225261 0.443740372837625 -0.272253021296119
albr younger queued ju: 19.2597622994989 1.04401355300076 -0.170487237128628
albr younger feed i: 20.3347672662769 -0.37832531795432 -0.410933928624594
albr younger feed i: 20.444979955935 -0.474817285220393 -0.339523816649795
albr younger feed i: 19.9714792450633 -0.434004789523336 -0.406985893824159
albr younger feed i: 20.4312119126234 -0.6095153466 -0.250612118364059
albr younger feed i: 20.3251701177665 -0.459267683714381 -0.398868116426624
albr younger feed i: 20.6060091946611 -0.265068998194241 -0.465102328035094
albr younger feed i: 20.4356543707454 -0.565716833242814 -0.214046654538623
albr younger feed i: 20.689192835879 -0.338255393772435 -0.277813636890395
albr younger feed i: 20.1752091744185 -0.401375383331755 -0.401813886117522
albr younger feed i: 20.3187684278023 -0.538478283502441 -0.281533293969208
