sl_rowIdx,speaker,age,word,label,DCT0,DCT1,DCT2
137,alha,younger,heed,i:,1322.66977348231,2.8554957290054,-8.37390388759189
138,alha,younger,heed,i:,1340.65845477221,-3.12564297597535,-0.245917705058054
139,alha,younger,heed,i:,1354.79534164815,-7.92410459775866,-3.97063402787689
140,alha,younger,heed,i:,1331.21755342907,3.21769441284996,-2.86096376315637
141,alha,younger,who'd,u:,1178.32662129399,-12.4128499228222,13.2907035193786
142,alha,younger,who'd,u:,1143.71148245905,-3.62919241993578,34.6822077955683
143,alha,younger,who'd,u:,1197.65753411919,-8.31456479864492,-0.357818317062322
144,alha,younger,who'd,u:,1196.3972558808,-10.0106952939058,8.43087543930015
145,alha,younger,who'd,u:,1220.44434045369,-20.9477946841331,-4.50309931497479
146,alha,younger,who'd,u:,1266.34914032924,-16.9611889669172,14.7622111599271
147,alha,younger,who'd,u:,1131.66947697183,-2.05818697506282,61.3347363240194
148,alha,younger,who'd,u:,1232.28907177281,-15.4147565888789,-5.07047825346418
149,alha,younger,who'd,u:,1222.32379154798,-12.252031147126,0.162549364432015
150,alha,younger,who'd,u:,1080.20219584719,-27.2681093942046,14.6055180787316
151,alha,younger,hewed,ju:,1286.91678084901,18.9455347834554,15.603573440739
152,alha,younger,hewed,ju:,1310.37062023105,18.1691256159314,-2.42545789530905
153,alha,younger,hewed,ju:,1306.53701487762,18.2923150534827,12.6890777450075
154,alha,younger,hewed,ju:,1260.36606786431,7.78946004321449,-1.48910320748532
155,alha,younger,hewed,ju:,1298.27421089743,23.0322944557073,-12.176808529435
156,alha,younger,hewed,ju:,1269.12938594221,9.63493072198093,-4.75843722617289
157,alha,younger,hewed,ju:,1277.40173235055,11.5922565860269,2.16791477118676
158,alha,younger,hewed,ju:,1337.82049125359,-10.9159388003864,-5.26753328754414
159,alha,younger,hewed,ju:,1284.29560285573,11.7844848588516,16.7368356678146
160,alha,younger,hewed,ju:,1286.98471470158,20.2803528529242,12.9248483840915
161,alha,younger,keyed,i:,1337.91827870052,-8.8537708462425,-17.2104582591633
162,alha,younger,keyed,i:,1328.44801443722,8.32675483847294,-2.64614958386695
163,alha,younger,keyed,i:,1345.98944961737,-3.62013091295381,-1.64474487709667
164,alha,younger,keyed,i:,1328.53718656347,-0.165605611482149,-3.15643569266905
165,alha,younger,keyed,i:,1334.45864399807,3.29293015775595,-11.716131520765
166,alha,younger,keyed,i:,1359.21936907067,-0.792511867650562,-4.99479877392202
167,alha,younger,keyed,i:,1324.61531792611,5.65154014753233,-5.13692707252461
168,alha,younger,keyed,i:,1327.37095723242,-2.36065856418908,-5.68303610582891
169,alha,younger,keyed,i:,1343.51960295465,-12.9648964352234,-1.50850296589997
170,alha,younger,keyed,i:,1331.2076871658,-12.4182600206428,-6.13922859530789
171,alha,younger,cooed,u:,1230.71508385049,-1.79120982074207,2.14084538177007
172,alha,younger,cooed,u:,1247.06685533702,-34.0210465715142,7.23144593278165
173,alha,younger,cooed,u:,1283.95223626693,-4.40670202607069,-2.09611464187927
174,alha,younger,cooed,u:,1270.72577100075,-17.7873996069723,0.153107808282447
175,alha,younger,cooed,u:,1187.78109222469,6.84453498629984,5.09957101843648
176,alha,younger,cooed,u:,1268.16850486344,8.61955986329836,-7.48768682604486
177,alha,younger,cooed,u:,1196.24141941684,40.9769711543206,17.635403302653
178,alha,younger,cooed,u:,1238.61923608344,-4.97946981147981,-10.945062932066
179,alha,younger,cooed,u:,1288.90254836872,24.6922947138938,-4.81050444803255
